Date-Time wind dlwrf dswrf tas shum pres ppt
01/30/1998-15 0.9233455 430.7744 680.40590 304.7228 0.02884406 100658.8 0.0000000
01/30/1998-18 0.9232864 446.5956 411.22930 305.2696 0.02959188 100603.9 0.0000000
01/30/1998-21 0.7940617 447.2240 81.08308 302.2864 0.02473588 100580.2 0.0000000
01/31/1998-00 0.7767023 428.7441 0.00000 300.0420 0.02152209 100623.8 0.0000000
01/31/1998-03 0.8712085 429.0197 0.00000 298.6790 0.01982511 100734.6 0.0000000
01/31/1998-06 0.9030864 422.6264 0.00000 298.2114 0.01940116 100794.8 0.0000000
01/31/1998-09 0.8723361 422.5368 21.75050 298.6391 0.02004357 100804.3 0.0000000
01/31/1998-12 1.1022220 429.1441 369.07650 300.7325 0.02287303 100762.6 0.0000000
01/31/1998-15 1.5927440 428.4007 674.93680 304.4915 0.02818827 100669.5 0.0000000
01/31/1998-18 1.6263970 433.0967 449.07260 304.8268 0.02787179 100616.6 0.0000000
01/31/1998-21 1.2031820 433.7252 121.46190 301.7384 0.02311880 100603.8 0.0000000
02/01/1998-00 0.8964898 417.3966 0.00000 299.8844 0.02090824 100623.1 0.0000000
02/01/1998-03 0.7063196 417.9056 0.00000 297.3126 0.01793625 100639.3 0.0000000
02/01/1998-06 0.6208001 421.2265 0.00000 296.7116 0.01716190 100739.9 0.0000000
02/01/1998-09 0.6399314 420.9489 17.42953 298.0815 0.01870980 100924.9 0.0000000
02/01/1998-12 0.8441494 425.6656 362.05500 301.3541 0.02313774 100884.5 0.0000000
02/01/1998-15 1.2334540 424.6738 669.72710 306.5296 0.03111333 100618.9 0.0000000
02/01/1998-18 1.3043010 435.7672 430.56690 307.0140 0.03104525 100538.2 0.0000000
02/01/1998-21 1.0566910 436.6030 105.46540 302.8074 0.02406868 100642.3 0.0000000
02/02/1998-00 0.9261665 422.1976 0.00000 299.9126 0.02046558 100695.8 0.0000000
02/02/1998-03 0.9127288 422.5618 0.00000 298.0681 0.01861067 100698.7 0.0000000
02/02/1998-06 0.8426725 419.3642 0.00000 297.4270 0.01828492 100761.0 0.0000000
02/02/1998-09 0.7159975 419.2474 18.58422 297.9892 0.01905488 100882.5 0.0000000
02/02/1998-12 0.8128082 425.3621 355.29170 300.8341 0.02249872 100826.5 0.0000000
02/02/1998-15 1.1331050 424.3820 654.50140 305.9617 0.02985009 100592.7 0.0000000
02/02/1998-18 1.1961550 434.2684 426.30170 306.4773 0.02978230 100528.6 0.0000000
02/02/1998-21 1.0019600 435.0996 108.50780 302.3807 0.02311006 100634.3 0.0000000
02/03/1998-00 0.9370750 434.5172 0.00000 299.0425 0.01898276 100696.8 0.0000000
02/03/1998-03 1.0015010 434.4474 0.00000 299.1644 0.01935064 100717.3 0.0000000
02/03/1998-06 1.0307370 431.0945 0.00000 299.4683 0.02014094 100750.5 0.0000000
02/03/1998-09 1.0247830 430.9824 18.61086 299.9542 0.02105954 100796.6 0.0000000
02/03/1998-12 1.1038030 435.5239 354.05130 302.2514 0.02438251 100744.1 1.9039350
02/03/1998-15 1.2677970 434.7051 652.21590 306.3601 0.03115440 100593.0 0.5638577
02/03/1998-18 1.1992490 442.4915 410.71300 306.5524 0.03156545 100535.8 0.8640935
02/03/1998-21 0.8981578 443.2501 93.93750 302.8283 0.02527479 100572.3 0.0000000
02/04/1998-00 0.6746440 421.9005 0.00000 300.2203 0.02133061 100603.5 0.0000000
02/04/1998-03 0.5287072 422.3755 0.00000 297.8125 0.01849837 100629.2 0.0000000
02/04/1998-06 0.4467634 423.7464 0.00000 297.2919 0.01826926 100698.3 0.0000000
02/04/1998-09 0.4288126 423.4697 18.96644 298.6587 0.02007852 100811.0 1.9039350
02/04/1998-12 0.5527849 434.0436 365.16390 301.7999 0.02436857 100781.8 0.0000000
02/04/1998-15 0.8186802 433.0577 673.33160 306.7155 0.03243865 100610.8 0.0000000
02/04/1998-18 0.8266113 446.6889 409.59620 307.3115 0.03334197 100557.3 0.0000000
02/04/1998-21 0.5765781 447.4631 82.46204 303.5879 0.02655962 100621.4 0.1171652
02/05/1998-00 0.5143830 434.2330 0.00000 300.2369 0.02138261 100696.1 0.0000000
02/05/1998-03 0.6400259 434.5363 0.00000 298.7230 0.01959152 100782.1 0.0000000
02/05/1998-06 0.7478404 424.3097 0.00000 298.2894 0.01959217 100823.4 0.0000000
02/05/1998-09 0.8378266 424.1706 22.92749 298.9364 0.02069882 100820.2 0.0000000
02/05/1998-12 0.8636453 433.6729 374.44740 301.8530 0.02478043 100741.5 0.8201566
02/05/1998-15 0.8252963 432.6489 683.83030 307.0391 0.03301855 100587.5 0.0000000
02/05/1998-18 0.7455654 448.6253 428.53980 307.7842 0.03324616 100571.4 0.0000000
02/05/1998-21 0.6244522 449.4043 96.22944 304.0885 0.02622554 100693.3 0.3148815
02/06/1998-00 0.4943260 434.9492 0.00000 301.0532 0.02167125 100771.8 0.0000000
02/06/1998-03 0.3551866 435.4500 0.00000 298.5936 0.01880390 100807.0 0.0000000
02/06/1998-06 0.3278933 427.3127 0.00000 298.0289 0.01856827 100879.6 0.0000000
02/06/1998-09 0.4124462 427.0354 22.50907 299.3591 0.02044758 100989.5 0.0000000
02/06/1998-12 0.5733996 440.3661 336.47920 302.2641 0.02462329 100940.3 0.0000000
